,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,passengerGroup,groupsize,deck,cabin_num,Side,last_name,first_name
30,0065_01,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,0065,1,G,9,S,Rushorney,Monald
31,0075_01,Earth,False,TRAPPIST-1e,19.0,False,598.0,0.0,30.0,0.0,0.0,0075,1,G,11,S,Jimes,Shally
32,0079_01,Earth,True,TRAPPIST-1e,48.0,False,0.0,0.0,0.0,0.0,0.0,0079,1,G,12,S,Sullones,Verney
33,0080_01,Earth,False,TRAPPIST-1e,23.0,False,14.0,870.0,0.0,0.0,23.0,0080,1,G,7,P,Llobsoney,Wandy
34,0083_01,Earth,False,TRAPPIST-1e,24.0,False,483.0,0.0,87.0,214.0,0.0,0083,1,G,8,P,Barris,Lilasa
35,0087_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,20.0,135.0,265.0,367.0,0087,1,E,3,P,Jarvey,Meremy
36,0089_01,Mars,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0089,1,F,19,S,Cha,Ors
37,0093_01,Earth,False,TRAPPIST-1e,27.0,False,66.0,1736.0,0.0,0.0,15.0,0093,1,G,10,P,Dukertyler,Krisa
38,0094_01,Earth,True,TRAPPIST-1e,6.0,False,,0.0,0.0,0.0,0.0,0094,2,G,17,S,Santantines,Jaye
39,0094_02,Earth,False,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,866.0,0.0,0094,2,F,21,S,Santantines,Terta
40,0095_01,Earth,False,PSO J318.5-22,23.0,False,0.0,0.0,1235.0,0.0,0.0,0095,1,F,18,P,Benderez,Toddie
41,0096_01,Earth,False,PSO J318.5-22,30.0,False,1.0,0.0,1585.0,0.0,484.0,0096,1,F,22,S,Swanardy,Leenny
42,0100_01,Earth,False,TRAPPIST-1e,,,0.0,17.0,997.0,0.0,0.0,0100,2,G,13,P,Cochrisons,Dary
43,0100_02,Earth,False,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,0100,2,G,13,P,Cochrisons,Mael
44,0104_01,Earth,False,TRAPPIST-1e,20.0,False,1.0,0.0,0.0,599.0,0.0,0104,1,F,25,S,Rochan,Alene
45,0106_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,0106,1,F,26,S,Puckenton,Therly
46,0109_01,Earth,False,TRAPPIST-1e,34.0,False,0.0,0.0,39.0,1.0,556.0,0109,1,F,22,P,Wolferton,Tonald
47,0117_01,Earth,False,PSO J318.5-22,24.0,False,0.0,22.0,82.0,0.0,686.0,0117,1,E,4,P,Ewiseston,Megany
48,0118_01,Earth,False,TRAPPIST-1e,29.0,False,14.0,869.0,,1.0,0.0,0118,1,G,14,P,Moodmandez,Troyce
49,0121_01,Earth,False,TRAPPIST-1e,20.0,False,1037.0,1.0,2.0,0.0,1576.0,0121,1,F,26,P,Mayson,Kendy
50,0124_01,Earth,True,55 Cancri e,5.0,False,0.0,0.0,0.0,0.0,0.0,0124,1,G,15,P,Camerrison,Karay
51,0125_01,Europa,True,55 Cancri e,22.0,False,0.0,0.0,0.0,0.0,0.0,0125,2,B,6,P,Fulatorly,Saiphda
52,0125_02,Europa,False,TRAPPIST-1e,16.0,False,3966.0,2872.0,0.0,0.0,2458.0,0125,2,B,6,P,Fulatorly,Hadira
53,0130_01,Earth,True,55 Cancri e,7.0,False,0.0,0.0,0.0,0.0,0.0,0130,1,G,16,P,Gilesonston,Catha
54,0131_01,Earth,False,55 Cancri e,36.0,False,0.0,0.0,571.0,36.0,0.0,0131,1,F,28,S,Simstravery,Vine
55,0132_01,Mars,False,55 Cancri e,26.0,False,46.0,315.0,2305.0,0.0,97.0,0132,1,D,4,S,Potte,Stech
56,0135_01,Earth,False,TRAPPIST-1e,40.0,False,413.0,514.0,1.0,0.0,0.0,0135,1,F,28,P,Hammonton,Rica
57,0137_01,Earth,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0137,1,G,24,S,Harry,Jilley
58,0142_01,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,0142,3,F,30,S,Buth,Oakes
59,0142_02,Mars,False,TRAPPIST-1e,23.0,False,378.0,402.0,0.0,0.0,509.0,0142,3,F,30,S,Buth,Swafox
60,0142_03,Mars,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0142,3,F,30,S,Buth,Gacke
61,0143_01,Europa,False,55 Cancri e,30.0,False,0.0,8853.0,6108.0,29.0,3523.0,0143,1,C,2,P,Unloweedic,Alaton
62,0145_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,44.0,23.0,723.0,0.0,0145,1,E,6,P,Hodes,Arlie
63,0150_01,Europa,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,0150,2,B,7,P,Slowatic,Menkaa
64,0150_02,Europa,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,0150,2,B,7,P,Slowatic,Wasalm
65,0153_01,Earth,False,TRAPPIST-1e,19.0,False,32.0,0.0,521.0,0.0,223.0,0153,1,F,32,S,Meleon,Wandy
66,0154_01,Earth,True,PSO J318.5-22,39.0,False,0.0,0.0,0.0,0.0,0.0,0154,1,G,21,P,Brenney,Dorah
67,0155_01,Mars,False,TRAPPIST-1e,38.0,False,2.0,26.0,148.0,1213.0,0.0,0155,1,F,33,P,Harta,Ritars
68,0156_01,Mars,,TRAPPIST-1e,,False,0.0,0.0,0.0,0.0,0.0,0156,1,F,34,P,Upead,Tures
69,0157_01,Europa,False,TRAPPIST-1e,35.0,False,0.0,463.0,0.0,1502.0,585.0,0157,1,A,1,P,Fulazy,Dabit
70,0158_01,Earth,False,55 Cancri e,26.0,False,832.0,0.0,0.0,21.0,136.0,0158,2,E,9,S,Jacobbinson,Dawne
71,0158_02,Earth,False,TRAPPIST-1e,31.0,False,0.0,0.0,705.0,0.0,0.0,0158,2,F,33,S,Jacobbinson,Nelle
72,0159_01,Earth,False,TRAPPIST-1e,38.0,False,0.0,3.0,0.0,756.0,0.0,0159,1,F,34,S,Irwines,Vanie
73,0161_01,Earth,False,55 Cancri e,27.0,False,,11.0,0.0,0.0,1172.0,0161,1,F,35,P,Donson,Adamy
74,0162_01,Mars,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,0162,1,F,36,P,Ble,Lix
75,0166_01,Earth,False,TRAPPIST-1e,22.0,False,0.0,772.0,0.0,0.0,0.0,0166,1,G,29,S,Rocholton,Essara
76,0168_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,0168,1,C,7,S,Oradly,Saxinon
77,0175_01,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,0175,5,G,25,P,Benney,Celis
78,0175_02,Earth,,55 Cancri e,8.0,False,0.0,0.0,0.0,0.0,0.0,0175,5,G,25,P,Benney,Elody
79,0175_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,0175,5,G,25,P,Benney,Leence
80,0175_04,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,0175,5,G,25,P,Benney,Eulah
81,0175_05,Earth,False,TRAPPIST-1e,9.0,False,0.0,0.0,0.0,0.0,0.0,0175,5,G,25,P,Benney,Robyny
82,0176_01,Earth,False,PSO J318.5-22,29.0,False,362.0,15.0,0.0,0.0,450.0,0176,1,F,39,P,Stannondez,Sanya
83,0180_01,Earth,False,TRAPPIST-1e,18.0,False,756.0,116.0,0.0,1.0,58.0,0180,1,F,40,P,Kellynn,Ronia
84,0184_01,Mars,False,TRAPPIST-1e,22.0,False,197.0,0.0,1175.0,0.0,0.0,0184,1,E,7,P,Gerry,Panter
85,0185_01,Mars,False,TRAPPIST-1e,24.0,False,6.0,11.0,1404.0,0.0,0.0,0185,1,F,37,S,Cooki,Alls
86,0187_01,Mars,True,55 Cancri e,25.0,False,0.0,0.0,0.0,0.0,0.0,0187,1,F,38,S,Kidne,Ranuts
87,0191_01,Earth,False,TRAPPIST-1e,36.0,False,261.0,0.0,206.0,465.0,0.0,0191,1,F,39,S,Currisones,Vanez
88,0194_01,Europa,True,TRAPPIST-1e,14.0,False,0.0,0.0,0.0,0.0,0.0,0194,3,C,4,P,Extraly,Ruchbia
89,0194_02,Europa,True,55 Cancri e,24.0,False,0.0,0.0,0.0,0.0,0.0,0194,3,C,4,P,Extraly,Algrafi
90,0194_03,Europa,False,55 Cancri e,26.0,True,0.0,275.0,0.0,4572.0,163.0,0194,3,C,4,P,Extraly,Polar
91,0204_01,Earth,False,PSO J318.5-22,29.0,False,1669.0,2.0,242.0,155.0,0.0,0204,1,F,43,P,Goldendrice,Gracy
92,0208_01,Earth,,TRAPPIST-1e,40.0,False,44.0,0.0,565.0,0.0,18.0,0208,1,G,33,P,Vales,Mael
93,0209_01,Europa,False,TRAPPIST-1e,36.0,,33.0,,0.0,12767.0,1193.0,0209,1,B,10,P,Clindy,Grasath
94,0214_01,Europa,False,TRAPPIST-1e,46.0,False,717.0,516.0,4.0,2.0,2439.0,0214,2,E,12,S,Pistage,Gorabba
95,0214_02,Europa,False,TRAPPIST-1e,42.0,False,4762.0,20.0,0.0,4.0,41.0,0214,2,E,12,S,Pistage,Genons
96,0215_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,0215,1,G,34,P,Waterson,Jaimez
97,0218_01,Earth,False,TRAPPIST-1e,19.0,False,741.0,12.0,1.0,0.0,0.0,0218,1,G,35,P,Alshipson,Jenne
98,0226_01,Europa,False,55 Cancri e,25.0,False,3.0,3833.0,8098.0,1531.0,0.0,0226,1,D,7,S,Matimple,Brakis
99,0227_01,Earth,,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,0227,1,,,,Buckentry,Kurta
100,0228_01,Europa,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,0228,4,B,4,S,Dompul,Azhasim
101,0228_02,Europa,False,55 Cancri e,39.0,,0.0,25273.0,0.0,13.0,1714.0,0228,4,B,4,S,Asharing,Zedark
102,0228_03,Europa,True,55 Cancri e,42.0,False,0.0,0.0,0.0,0.0,0.0,0228,4,B,4,S,Dompul,Alurops
103,0228_04,Europa,False,TRAPPIST-1e,35.0,False,0.0,1442.0,0.0,1813.0,6439.0,0228,4,B,4,S,Dompul,Aviton
104,0230_01,Earth,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,0230,2,F,49,P,Burksson,Daisya
105,0230_02,Earth,False,TRAPPIST-1e,20.0,False,786.0,0.0,0.0,0.0,,0230,2,F,49,P,Burksson,Ren
106,0235_01,Earth,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,0235,1,G,40,P,Hickerson,Monard
107,0236_01,Mars,True,TRAPPIST-1e,36.0,False,0.0,0.0,0.0,0.0,0.0,0236,1,F,51,P,Nutte,Poloos
108,0238_01,Mars,False,TRAPPIST-1e,39.0,False,2556.0,0.0,22.0,0.0,0.0,0238,1,D,7,P,Chcak,Set
109,0247_01,Europa,True,55 Cancri e,23.0,False,0.0,0.0,0.0,0.0,0.0,0247,2,D,9,P,Gulcepusy,Rasaleh
110,0247_02,Europa,True,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,0247,2,D,9,P,Gulcepusy,Bath
111,0249_01,Earth,False,TRAPPIST-1e,50.0,False,0.0,0.0,78.0,751.0,78.0,0249,1,G,41,P,Prickmantes,Luise
112,0256_01,Earth,False,PSO J318.5-22,41.0,False,0.0,0.0,728.0,0.0,0.0,0256,1,F,48,S,Bensley,Kerryn
113,0259_01,Mars,False,55 Cancri e,19.0,False,1.0,0.0,2839.0,85.0,0.0,0259,1,F,55,P,Floaf,Fow
114,0262_01,Earth,False,TRAPPIST-1e,20.0,False,186.0,0.0,0.0,602.0,100.0,0262,1,G,39,S,,
115,0264_01,Europa,True,55 Cancri e,19.0,False,0.0,0.0,0.0,0.0,0.0,0264,3,B,5,S,Anindery,Hasim
116,0264_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,0264,3,B,5,S,Anindery,Okulus
117,0264_03,Europa,False,55 Cancri e,32.0,False,1340.0,,0.0,8517.0,1256.0,0264,3,B,5,S,Anindery,Deneba
118,0266_01,Mars,False,TRAPPIST-1e,44.0,False,696.0,0.0,462.0,46.0,94.0,0266,2,E,12,P,Muff,Chtios
119,0266_02,Mars,False,TRAPPIST-1e,18.0,False,1542.0,0.0,138.0,0.0,0.0,0266,2,F,57,P,Muff,Panzel
120,0268_01,Mars,False,TRAPPIST-1e,49.0,False,108.0,0.0,41.0,1560.0,0.0,0268,2,F,58,P,Nutca,Hony
121,0268_02,Mars,False,55 Cancri e,23.0,False,3186.0,0.0,0.0,2.0,0.0,0268,2,E,13,P,Nutca,Libers
122,0271_01,Earth,False,TRAPPIST-1e,31.0,False,41.0,334.0,1.0,62.0,484.0,0271,1,G,44,P,Alfordonard,Jilly
123,0272_01,Mars,False,TRAPPIST-1e,55.0,False,1054.0,0.0,2.0,0.0,1.0,0272,1,D,10,P,Graie,Gramus
124,0273_01,Mars,False,TRAPPIST-1e,60.0,False,60.0,0.0,7022.0,0.0,0.0,0273,3,F,60,P,Ste,Wales
125,0273_02,Mars,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,0273,3,F,60,P,Ste,Triesh
126,0273_03,Mars,False,TRAPPIST-1e,34.0,False,301.0,0.0,79.0,919.0,0.0,0273,3,E,14,P,Ste,Apench
127,0274_01,Mars,False,,14.0,False,123.0,0.0,0.0,1936.0,22.0,0274,2,E,17,S,Melto,Felios
128,0274_02,Mars,True,TRAPPIST-1e,26.0,False,0.0,,0.0,0.0,,0274,2,E,17,S,Melto,Bats
129,0276_01,Europa,False,55 Cancri e,19.0,False,0.0,86.0,0.0,368.0,4055.0,0276,2,B,6,S,Pabler,Okula
130,0276_02,Europa,True,TRAPPIST-1e,25.0,False,0.0,0.0,0.0,0.0,0.0,0276,2,B,6,S,Pabler,Zedark
131,0279_01,Earth,False,55 Cancri e,42.0,False,98.0,10.0,0.0,613.0,0.0,0279,1,F,62,P,Conleydenan,Arllia
132,0280_01,Earth,False,TRAPPIST-1e,18.0,False,212.0,678.0,12.0,0.0,0.0,0280,1,F,53,S,Mcfaddoxter,Andyn
133,0284_01,Mars,False,TRAPPIST-1e,50.0,False,0.0,0.0,1299.0,0.0,0.0,0284,1,E,15,P,Datie,Cers
134,0292_01,Earth,False,TRAPPIST-1e,26.0,False,0.0,,0.0,1079.0,281.0,0292,1,F,56,S,Chardsonnon,Jillie
135,0293_01,Europa,True,TRAPPIST-1e,47.0,False,0.0,0.0,0.0,0.0,0.0,0293,1,,,,Suptibler,Tauxon
136,0295_01,Earth,False,PSO J318.5-22,35.0,False,,627.0,0.0,44.0,0.0,0295,1,F,66,P,Hardley,Guyl
137,0296_01,Mars,False,55 Cancri e,58.0,False,73.0,0.0,422.0,978.0,0.0,0296,1,F,57,S,Cort,Kohs
138,0299_01,Earth,False,55 Cancri e,20.0,False,376.0,0.0,242.0,1.0,0.0,0299,1,F,58,S,Hickett,Dellia
139,0300_01,Europa,False,TRAPPIST-1e,28.0,False,5.0,11549.0,132.0,4966.0,524.0,0300,1,D,11,P,Ofracculy,Mahamak
140,0308_01,Earth,True,PSO J318.5-22,12.0,False,,0.0,0.0,0.0,0.0,0308,1,G,48,P,,
141,0311_01,Earth,False,55 Cancri e,20.0,False,,0.0,0.0,10.0,0.0,0311,1,E,17,P,Simmonders,Coreen
142,0312_01,Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,0312,1,G,49,P,Hoffergess,Adrie
143,0317_01,Earth,False,TRAPPIST-1e,31.0,False,0.0,34.0,81.0,0.0,608.0,0317,1,G,43,S,Medington,Philda
144,0318_01,Earth,True,PSO J318.5-22,24.0,False,0.0,0.0,0.0,0.0,0.0,0318,1,G,52,P,Solon,Robyna
145,0319_01,Mars,False,TRAPPIST-1e,17.0,False,1031.0,0.0,1026.0,42.0,0.0,0319,2,E,18,P,Prie,Ranats
146,0319_02,Mars,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,0319,2,F,69,P,Prie,Pigars
147,0323_01,Earth,True,55 Cancri e,18.0,False,0.0,0.0,0.0,0.0,0.0,0323,1,,,,Gaineyerson,Joyn
148,0325_01,Earth,False,TRAPPIST-1e,48.0,,,755.0,0.0,0.0,0.0,0325,1,G,54,P,Mccarveymon,Searla
149,0328_01,Earth,False,TRAPPIST-1e,38.0,False,3.0,1252.0,1.0,0.0,0.0,0328,1,F,71,P,Singtons,Verney
150,0329_01,Europa,True,55 Cancri e,33.0,,0.0,0.0,0.0,0.0,0.0,0329,1,B,14,P,Rewmid,Iononus
151,0332_01,Earth,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,0332,1,G,55,P,Pooles,Shany
152,0335_01,Mars,False,TRAPPIST-1e,22.0,,0.0,0.0,0.0,0.0,0.0,0335,1,E,20,S,Coff,Rionk
153,0339_01,Earth,False,TRAPPIST-1e,52.0,False,356.0,34.0,288.0,0.0,124.0,0339,8,F,75,P,Barnolderg,Alley
154,0339_02,Earth,False,55 Cancri e,15.0,False,638.0,0.0,7.0,0.0,0.0,0339,8,F,75,P,Colleruces,Alber
155,0339_03,Earth,False,TRAPPIST-1e,25.0,False,10.0,2.0,755.0,0.0,9.0,0339,8,F,75,P,Colleruces,Kirky
156,0339_04,Earth,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,0339,8,G,56,P,Perkings,Shelle
157,0339_05,Earth,True,55 Cancri e,,False,0.0,0.0,0.0,0.0,0.0,0339,8,G,56,P,Colleruces,Davisy
158,0339_06,Earth,False,TRAPPIST-1e,16.0,False,1395.0,0.0,0.0,21.0,522.0,0339,8,F,75,P,Colleruces,Wandy
159,0339_07,Earth,False,TRAPPIST-1e,48.0,False,1.0,0.0,259.0,308.0,450.0,0339,8,G,56,P,Barnolderg,Berta
160,0339_08,Earth,False,TRAPPIST-1e,36.0,False,0.0,69.0,0.0,0.0,796.0,0339,8,F,75,P,Barnolderg,Shalle
161,0342_01,Earth,False,PSO J318.5-22,19.0,False,0.0,74.0,610.0,0.0,,0342,2,E,19,P,Headardyer,Teryla
162,0342_02,Earth,True,PSO J318.5-22,43.0,False,0.0,0.0,0.0,0.0,0.0,0342,2,G,58,P,Headardyer,Blanie
163,0344_01,Europa,True,TRAPPIST-1e,32.0,False,0.0,0.0,0.0,0.0,0.0,0344,2,C,8,P,Stranbeate,Zibah
164,0344_02,Europa,False,55 Cancri e,54.0,False,0.0,8.0,4391.0,4882.0,7.0,0344,2,C,8,P,,
165,0349_01,Europa,,TRAPPIST-1e,33.0,False,0.0,1030.0,0.0,3490.0,5832.0,0349,6,A,4,S,Ametic,Meropus
166,0349_02,Europa,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,0349,6,A,4,S,Ametic,Kaffias
167,0349_03,Europa,False,TRAPPIST-1e,33.0,False,23.0,0.0,737.0,493.0,1373.0,0349,6,A,4,S,Ametic,Misadr
168,0349_04,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,0349,6,A,4,S,Ametic,Alderak
169,0349_05,Europa,False,TRAPPIST-1e,23.0,False,0.0,1468.0,0.0,704.0,1193.0,0349,6,A,4,S,Ametic,Celavar
170,0349_06,Europa,False,TRAPPIST-1e,26.0,False,8.0,67.0,0.0,393.0,1975.0,0349,6,A,4,S,Ametic,Duhratz
171,0351_01,Mars,True,TRAPPIST-1e,41.0,,0.0,0.0,0.0,0.0,0.0,0351,1,F,77,P,Fache,Macon
172,0353_01,Earth,True,TRAPPIST-1e,2.0,False,,0.0,0.0,0.0,0.0,0353,2,G,61,P,Jacostanley,Arla
173,0353_02,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,0353,2,G,61,P,Jacostanley,Delley
174,0354_01,Earth,False,PSO J318.5-22,70.0,False,130.0,0.0,1247.0,0.0,3.0,0354,1,F,79,P,Waltonson,Hary
175,0362_01,Earth,False,TRAPPIST-1e,20.0,False,0.0,1704.0,3.0,0.0,0.0,0362,1,F,80,P,Gardonadox,Eddiey
176,0363_01,Earth,False,TRAPPIST-1e,31.0,False,273.0,722.0,1.0,0.0,0.0,0363,3,E,22,S,Fowlesterez,Doray
177,0363_02,Earth,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,,0363,3,E,22,S,Fowlesterez,Kimmy
178,0363_03,Earth,True,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,0363,3,E,22,S,Fowlesterez,Jenn
179,0364_01,Mars,False,TRAPPIST-1e,45.0,False,288.0,0.0,932.0,4.0,0.0,0364,2,F,81,P,Chité,Cinkes
180,0364_02,Mars,False,TRAPPIST-1e,37.0,False,731.0,0.0,517.0,50.0,0.0,0364,2,,,,Chité,Anakes
181,0366_01,Earth,True,TRAPPIST-1e,24.0,False,0.0,0.0,0.0,0.0,0.0,0366,1,G,52,S,,
182,0367_01,Europa,False,55 Cancri e,55.0,False,0.0,538.0,0.0,6.0,5288.0,0367,1,D,11,S,Dischod,Misa
183,0374_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,251.0,,0.0,553.0,0374,2,F,86,P,Sterreray,Harrie
184,0374_02,Earth,False,TRAPPIST-1e,36.0,False,6.0,0.0,0.0,783.0,0.0,0374,2,,,,Sterreray,Tamie
185,0386_01,Mars,False,TRAPPIST-1e,59.0,False,1678.0,,0.0,0.0,0.0,0386,1,D,12,S,Fiha,Docoos
186,0390_01,Earth,True,TRAPPIST-1e,61.0,False,0.0,0.0,0.0,0.0,0.0,0390,1,G,67,P,Mejiaddox,Anda
187,0393_01,Earth,False,55 Cancri e,46.0,False,4908.0,1.0,3.0,1.0,14.0,0393,1,G,58,S,Whitledges,Dellia
188,0394_01,Mars,False,TRAPPIST-1e,29.0,False,87.0,1192.0,67.0,0.0,3.0,0394,1,F,87,P,Facke,Seat
189,0399_01,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,0399,1,G,68,P,Lewinton,Rayle
190,0400_01,Europa,True,TRAPPIST-1e,20.0,False,0.0,0.0,0.0,0.0,0.0,0400,1,C,10,P,Aroodint,Azaleha
191,0404_01,Mars,False,TRAPPIST-1e,28.0,False,4.0,0.0,2219.0,0.0,0.0,0404,1,F,88,P,Kate,Tot
192,0406_01,Earth,False,TRAPPIST-1e,26.0,False,708.0,183.0,10.0,0.0,0.0,0406,1,F,70,S,Prinson,Ryany
193,0414_01,Earth,False,TRAPPIST-1e,32.0,False,642.0,0.0,759.0,332.0,1444.0,0414,1,F,93,P,Hutchinton,Bara
194,0416_01,Earth,False,TRAPPIST-1e,18.0,False,658.0,0.0,0.0,0.0,5.0,0416,1,E,23,S,Ocherman,Lina
195,0418_01,Earth,False,TRAPPIST-1e,50.0,False,1.0,0.0,0.0,736.0,0.0,0418,1,F,94,P,Brantuarez,Salley
196,0419_01,Earth,False,TRAPPIST-1e,47.0,False,239.0,75.0,487.0,7.0,0.0,0419,3,G,70,P,Monsoney,Line
